Area,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item,hg/ha_yield
Nigeria,2019,1533.4,23.28,21.01,Rice,11826.0
Ethiopia,2010,867.2,4.6,23.76,Sorghum,7687.0
Nigeria,2000,1428.1,6.16,17.07,Sorghum,6754.0
Ethiopia,2012,825.6,7.64,24.49,Maize,9269.0
India,2011,1739.2,7.51,20.01,Rice,10788.0
India,2003,703.2,13.84,17.65,Cassava,9884.0
India,2013,1565.0,24.33,20.84,Potatoes,19834.0
Kenya,2017,870.2,40.61,20.14,Wheat,9275.0
Tanzania,2002,1804.6,19.04,20.7,Potatoes,20919.0
Kenya,2015,1307.0,10.42,25.8,Maize,9907.0
Tanzania,2002,744.4,2.81,18.86,Maize,8167.0
Kenya,2015,917.2,15.74,28.94,Potatoes,15575.0
Nigeria,2008,1373.4,15.19,16.7,Potatoes,17007.0
Kenya,2000,1468.4,17.22,28.46,Sorghum,4107.0
Kenya,2020,1075.2,80.24,17.93,Rice,9311.0
India,2003,1115.6,40.14,22.0,Cassava,12301.0
India,2012,1365.4,27.88,20.04,Rice,10386.0
Kenya,2003,1146.1,6.89,20.63,Sorghum,5017.0
Tanzania,2019,647.3,9.87,25.21,Maize,7976.0
Ethiopia,2015,815.5,13.79,28.0,Maize,7095.0
Ethiopia,2016,1182.3,8.0,26.76,Sorghum,4645.0
Ethiopia,2009,1525.4,22.21,20.38,Cassava,12738.0
Nigeria,2009,1665.6,19.8,22.74,Cassava,13348.0
Kenya,2013,1372.8,6.23,18.87,Wheat,7218.0
Nigeria,2016,1200.6,38.76,18.03,Maize,10549.0
Ethiopia,2017,1362.1,16.15,17.41,Cassava,10080.0
Kenya,2000,866.6,3.73,20.25,Potatoes,15337.0
Ethiopia,2013,1046.4,14.28,23.0,Wheat,7774.0
India,2002,811.6,18.63,14.35,Sorghum,3220.0
India,2006,662.9,32.4,21.81,Cassava,11507.0
Ethiopia,2017,1216.7,11.36,28.06,Wheat,6007.0
Ethiopia,2005,1164.9,28.86,26.49,Sorghum,5263.0
India,2016,1340.7,17.28,19.66,Sorghum,6656.0
India,2009,1291.1,5.2,16.41,Potatoes,16316.0
Tanzania,2004,1184.9,4.8,23.84,Potatoes,19323.0
Tanzania,2007,1294.8,36.53,12.73,Wheat,4438.0
Tanzania,2011,1085.1,38.74,26.44,Cassava,11433.0
Tanzania,2016,1244.5,19.27,21.15,Cassava,14622.0
Nigeria,2012,845.8,49.23,29.33,Cassava,9709.0
Ethiopia,2019,1229.4,34.65,15.09,Sorghum,5578.0
Ethiopia,2018,1333.9,25.71,25.67,Maize,10295.0
Ethiopia,2015,865.6,7.18,21.6,Rice,10363.0
India,2012,1118.1,59.45,20.68,Rice,10933.0
India,2006,881.7,22.85,16.52,Cassava,10306.0
Tanzania,2008,915.7,10.93,24.38,Potatoes,17413.0
Kenya,2002,706.3,8.72,24.7,Potatoes,16137.0
Nigeria,2007,1543.0,18.27,29.14,Maize,8867.0
Ethiopia,2019,1473.0,3.91,26.03,Sorghum,8393.0
Tanzania,2008,1288.1,26.04,19.62,Rice,11660.0
Ethiopia,2002,1790.3,6.94,17.98,Maize,10591.0
Kenya,2013,1033.8,20.02,16.53,Cassava,11296.0
Nigeria,2020,2161.1,9.8,27.89,Wheat,8057.0
Tanzania,2018,1020.4,12.04,18.89,Maize,8655.0
Tanzania,2005,1189.3,8.12,27.92,Maize,8914.0
Kenya,2009,960.8,13.08,24.1,Rice,10950.0
Ethiopia,2011,1230.3,67.46,23.32,Maize,9946.0
Kenya,2005,1392.5,45.06,20.77,Cassava,12536.0
Ethiopia,2005,1060.1,19.76,24.64,Potatoes,19778.0
Nigeria,2004,1721.9,14.58,21.94,Wheat,9593.0
Ethiopia,2020,1183.7,29.23,20.52,Maize,11586.0
Kenya,2015,1194.7,36.74,24.78,Rice,10517.0
Nigeria,2017,781.9,7.66,21.42,Maize,9242.0
Kenya,2017,1246.5,13.99,18.81,Cassava,11518.0
Ethiopia,2020,1053.1,3.46,24.4,Wheat,8258.0
Kenya,2002,887.1,36.54,21.74,Rice,11219.0
Kenya,2018,828.2,77.64,23.96,Maize,8683.0
Nigeria,2001,2035.1,15.86,20.18,Maize,11450.0
Tanzania,2009,1007.8,2.72,17.16,Wheat,7229.0
India,2012,590.1,24.22,28.94,Maize,6077.0
Kenya,2007,855.6,7.22,28.19,Sorghum,3624.0
Kenya,2003,1082.0,8.75,25.54,Cassava,12158.0
Ethiopia,2004,1291.3,24.56,20.45,Cassava,13594.0
India,2017,1294.2,18.24,20.8,Wheat,7651.0
India,2006,1336.8,10.07,27.53,Sorghum,5607.0
Tanzania,2006,874.3,8.85,20.58,Potatoes,16278.0
Ethiopia,2019,1219.2,16.46,19.47,Maize,8835.0
Kenya,2003,793.4,10.72,29.49,Maize,6294.0
Kenya,2019,883.1,6.13,21.81,Potatoes,17361.0
Kenya,2019,778.8,11.4,29.07,Rice,6263.0
Kenya,2012,684.1,19.52,16.41,Maize,6545.0
Tanzania,2003,1472.5,12.9,24.07,Cassava,11681.0
Ethiopia,2003,1341.0,4.8,30.28,Sorghum,4343.0
Tanzania,2005,1441.8,32.83,22.12,Potatoes,17293.0
Nigeria,2012,1113.8,1.66,20.94,Cassava,11215.0
Nigeria,2003,1371.9,10.41,17.33,Cassava,10216.0
Nigeria,2009,483.5,9.06,26.33,Cassava,10433.0
Tanzania,2002,1402.1,16.75,18.92,Wheat,6486.0
Kenya,2011,1162.0,23.32,21.62,Cassava,12228.0
Kenya,2000,1319.5,36.65,17.06,Potatoes,19131.0
Nigeria,2014,1233.0,8.42,28.23,Sorghum,6800.0
Ethiopia,2001,754.5,23.79,26.62,Cassava,8931.0
Nigeria,2004,575.7,17.4,21.87,Maize,8995.0
India,2003,850.8,3.78,17.38,Rice,7479.0
Nigeria,2017,1297.7,68.06,28.14,Maize,8304.0
Ethiopia,2001,1341.5,4.71,20.54,Wheat,8123.0
Ethiopia,2009,621.2,20.81,17.58,Rice,9605.0
India,2012,756.6,20.33,14.95,Cassava,9474.0
Ethiopia,2010,846.9,18.55,19.42,Cassava,10697.0
Nigeria,2014,974.9,10.02,16.18,Rice,9306.0
Nigeria,2016,623.3,28.84,19.51,Wheat,5005.0
India,2008,602.3,4.27,24.98,Potatoes,15512.0
India,2017,812.4,14.12,20.5,Cassava,10356.0
Nigeria,2006,1130.2,9.48,23.42,Cassava,12308.0
Ethiopia,2020,686.8,8.66,19.11,Wheat,6382.0
Ethiopia,2010,1059.5,20.97,22.26,Wheat,7815.0
Nigeria,2015,1470.5,35.23,29.68,Sorghum,5150.0
Ethiopia,2018,644.4,11.31,20.61,Wheat,6820.0
India,2016,1027.7,27.79,23.54,Wheat,8058.0
Ethiopia,2017,1458.7,15.48,15.74,Maize,8811.0
India,2011,953.6,7.28,28.08,Rice,7688.0
India,2000,899.2,12.11,20.09,Rice,9757.0
Tanzania,2010,1507.2,11.71,26.2,Potatoes,18840.0
Kenya,2003,992.8,8.52,21.51,Wheat,6901.0
India,2018,1486.6,20.96,24.45,Sorghum,6962.0
Kenya,2004,1250.1,17.95,24.68,Sorghum,7541.0
Ethiopia,2004,980.0,4.17,20.19,Rice,8779.0
Kenya,2005,1267.9,3.97,26.37,Wheat,8715.0
Kenya,2013,1212.2,20.9,18.96,Potatoes,16660.0
Kenya,2011,1457.3,7.75,25.11,Sorghum,6376.0
Kenya,2019,908.1,18.95,20.44,Rice,8817.0
Tanzania,2008,1114.4,27.79,23.4,Wheat,9950.0
Kenya,2005,1078.5,5.38,20.15,Potatoes,17147.0
Ethiopia,2001,1346.5,4.81,22.2,Rice,10282.0
India,2000,741.2,56.8,17.7,Rice,8717.0
Tanzania,2007,1455.9,19.71,22.99,Rice,11141.0
Tanzania,2019,1263.2,10.64,22.18,Wheat,7842.0
Kenya,2010,639.1,7.05,19.84,Sorghum,4982.0
Tanzania,2018,1522.9,9.89,21.78,Rice,7920.0
India,2002,1881.9,5.74,22.54,Rice,11665.0
Kenya,2001,1450.6,30.17,19.53,Potatoes,18686.0
Nigeria,2017,1599.4,7.99,21.48,Rice,12461.0
Tanzania,2002,1129.9,35.69,17.98,Maize,10371.0
Ethiopia,2001,518.5,10.8,31.38,Cassava,6672.0
Kenya,2008,454.6,6.46,26.24,Maize,7824.0
Tanzania,2019,1189.3,10.58,23.09,Potatoes,17130.0
Tanzania,2014,892.8,1.82,26.69,Wheat,6893.0
Tanzania,2002,779.9,13.51,14.08,Wheat,3783.0
Tanzania,2017,1078.0,12.99,11.77,Maize,3690.0
Tanzania,2017,1315.5,28.78,20.4,Cassava,12444.0
Nigeria,2016,591.5,3.29,16.49,Rice,9143.0
Kenya,2018,942.9,37.69,21.05,Rice,10262.0
India,2005,1628.5,28.69,22.82,Sorghum,9029.0
Ethiopia,2020,723.6,40.51,25.68,Maize,7916.0
Nigeria,2006,1404.4,14.27,17.45,Potatoes,19014.0
India,2016,930.3,33.49,23.6,Rice,9247.0
Tanzania,2012,1291.0,4.59,22.06,Potatoes,18512.0
Ethiopia,2016,1484.1,26.32,23.39,Maize,10768.0
Ethiopia,2013,1359.4,8.03,19.92,Cassava,13012.0
India,2013,1418.2,3.97,27.53,Wheat,7028.0
Kenya,2012,696.9,6.05,21.59,Sorghum,4751.0
Nigeria,2016,1489.8,14.95,29.1,Sorghum,6228.0
India,2015,801.6,7.69,18.84,Rice,10388.0
Nigeria,2002,1190.8,20.1,24.97,Maize,9199.0
Ethiopia,2017,1190.4,3.5,21.76,Wheat,6317.0
Tanzania,2011,1269.8,2.71,20.69,Sorghum,7106.0
Ethiopia,2006,1217.9,44.61,24.53,Cassava,12263.0
India,2010,804.7,30.66,20.8,Cassava,11248.0
Nigeria,2020,627.5,6.43,11.35,Wheat,2376.0
Kenya,2018,1405.3,14.84,10.0,Potatoes,11724.0
Nigeria,2017,1165.0,33.64,27.09,Maize,8860.0
Kenya,2009,1502.3,20.81,26.92,Sorghum,6237.0
Tanzania,2016,1084.3,16.75,29.55,Rice,8995.0
India,2008,608.2,35.73,21.93,Sorghum,5601.0
Ethiopia,2014,1438.1,8.29,16.83,Sorghum,4973.0
Nigeria,2013,970.4,15.26,20.32,Cassava,10861.0
India,2005,1219.7,14.67,22.05,Rice,10429.0
Ethiopia,2005,873.4,11.96,17.97,Rice,8054.0
Ethiopia,2001,1675.5,10.89,28.59,Potatoes,15987.0
Nigeria,2002,793.2,15.77,30.96,Maize,6143.0
Ethiopia,2009,981.9,15.3,23.91,Maize,9841.0
India,2010,1137.6,6.43,21.96,Potatoes,17468.0
Kenya,2003,717.7,28.26,16.82,Sorghum,4860.0
Tanzania,2008,1215.7,6.81,28.19,Potatoes,16624.0
Ethiopia,2012,1664.2,12.5,22.31,Sorghum,8387.0
Nigeria,2004,928.3,11.75,20.84,Wheat,8203.0
Kenya,2007,1238.3,19.82,23.92,Rice,8010.0
Ethiopia,2007,250.0,2.73,19.66,Potatoes,15628.0
India,2010,1086.4,30.35,22.59,Rice,10696.0
Ethiopia,2007,990.4,8.66,16.23,Maize,7441.0
Kenya,2015,813.5,39.49,26.35,Maize,8364.0
Nigeria,2006,1478.5,10.15,21.58,Cassava,13773.0
Kenya,2009,985.8,14.31,26.64,Potatoes,16789.0
Ethiopia,2007,1037.9,68.79,21.2,Wheat,9943.0
Nigeria,2003,968.0,11.92,21.46,Wheat,8809.0
Nigeria,2014,429.1,40.09,17.15,Maize,7580.0
India,2004,703.8,15.35,25.04,Cassava,10385.0
India,2006,1436.4,20.75,18.5,Maize,7054.0
Tanzania,2016,361.5,15.74,20.05,Sorghum,4467.0
Kenya,2019,831.8,29.32,22.0,Wheat,6152.0
Ethiopia,2014,960.1,8.6,22.48,Rice,10130.0
Kenya,2019,1710.3,6.77,15.18,Wheat,7006.0
Kenya,2017,1369.0,8.93,21.08,Sorghum,7534.0
Ethiopia,2010,905.0,16.12,25.18,Maize,10034.0
Nigeria,2016,1556.6,12.47,20.49,Rice,11385.0
Tanzania,2006,840.8,26.26,21.1,Wheat,9460.0
India,2009,1453.2,42.26,22.65,Wheat,9021.0
India,2011,624.4,6.82,21.5,Wheat,5285.0
India,2020,1475.6,8.27,17.88,Cassava,11300.0
Kenya,2017,957.9,4.72,21.85,Rice,9342.0
Tanzania,2010,740.0,75.51,25.98,Rice,10182.0
Tanzania,2013,1024.0,18.99,17.8,Rice,8489.0
Kenya,2004,1197.1,21.84,20.5,Cassava,11892.0
Nigeria,2016,926.8,5.09,16.47,Rice,8496.0
Tanzania,2011,1293.9,14.87,25.77,Rice,9628.0
Nigeria,2011,896.0,22.36,21.63,Wheat,8531.0
Tanzania,2016,1317.1,12.16,18.6,Wheat,8337.0
Tanzania,2013,1254.8,35.18,22.37,Maize,11232.0
Nigeria,2001,1078.7,94.58,17.19,Potatoes,18151.0
Kenya,2006,945.5,6.98,17.87,Maize,9298.0
Ethiopia,2003,1153.0,6.57,16.16,Wheat,5173.0
Ethiopia,2015,1292.6,7.37,17.73,Wheat,6185.0
Nigeria,2000,1821.6,53.78,27.43,Wheat,7895.0
Nigeria,2004,1428.8,34.26,19.07,Sorghum,7479.0
Nigeria,2012,1441.6,13.35,23.86,Potatoes,19997.0
Kenya,2014,2181.0,15.32,18.65,Cassava,13282.0
Ethiopia,2010,1280.6,7.74,25.04,Rice,9789.0
India,2018,1269.6,30.33,17.9,Cassava,11496.0
Kenya,2019,1346.4,10.98,22.16,Maize,10441.0
Ethiopia,2002,746.9,12.08,22.21,Potatoes,16892.0
Tanzania,2020,944.6,24.22,31.31,Sorghum,1960.0
Kenya,2012,922.8,12.8,24.52,Potatoes,16025.0
Nigeria,2013,1326.7,12.33,19.63,Cassava,12036.0
Ethiopia,2001,1039.0,15.01,24.74,Wheat,8533.0
Kenya,2013,1148.4,28.11,30.55,Maize,6538.0
Nigeria,2015,1480.6,55.55,15.48,Sorghum,5713.0
Nigeria,2012,1402.1,23.77,18.63,Maize,11243.0
Kenya,2001,1043.4,28.29,21.05,Sorghum,5953.0
Kenya,2010,865.5,12.68,20.33,Sorghum,7047.0
Kenya,2019,1497.3,8.45,20.67,Cassava,13904.0
India,2015,1370.9,25.11,16.78,Rice,9618.0
Tanzania,2002,537.8,17.06,27.62,Cassava,8071.0
Kenya,2020,990.4,4.77,16.31,Wheat,7954.0
Ethiopia,2020,1157.9,11.44,21.2,Rice,10739.0
Ethiopia,2003,1372.6,13.92,26.18,Maize,9150.0
Ethiopia,2016,1418.5,9.89,21.88,Sorghum,8129.0
Ethiopia,2008,1199.4,48.69,18.08,Sorghum,7310.0
Kenya,2012,1304.8,21.84,16.61,Sorghum,6869.0
Nigeria,2009,1122.4,44.64,21.08,Sorghum,6705.0
Ethiopia,2016,864.2,18.37,18.97,Wheat,7351.0
Ethiopia,2020,1008.6,15.88,22.82,Maize,8359.0
Ethiopia,2016,1106.6,7.03,16.39,Cassava,11226.0
Tanzania,2019,1087.9,15.02,25.25,Rice,9722.0
India,2019,440.0,15.04,22.46,Maize,8137.0
Nigeria,2001,960.9,4.98,22.76,Cassava,11731.0
Ethiopia,2005,1119.7,9.66,27.76,Cassava,10387.0
Tanzania,2015,1001.5,11.49,20.25,Rice,9056.0
Tanzania,2012,1013.6,20.71,19.1,Sorghum,6773.0
Kenya,2001,1270.8,21.52,19.81,Maize,11043.0
Tanzania,2001,722.4,9.35,21.23,Maize,8102.0
India,2010,530.2,21.65,21.64,Wheat,6983.0
Kenya,2012,978.1,12.86,18.68,Potatoes,17537.0
India,2003,1367.4,1.5,13.91,Maize,6791.0
Kenya,2003,1690.6,10.1,19.76,Maize,9070.0
Kenya,2002,1373.7,35.28,23.44,Sorghum,6087.0
Kenya,2011,586.1,3.88,22.55,Sorghum,4431.0
Nigeria,2000,1018.7,16.28,26.8,Sorghum,3724.0
India,2012,1189.8,52.89,29.82,Sorghum,5625.0
Nigeria,2009,1162.2,8.1,25.04,Sorghum,6794.0
Kenya,2009,1288.8,14.91,27.53,Potatoes,16956.0
Kenya,2014,779.0,5.24,25.07,Potatoes,14698.0
Tanzania,2010,1122.7,54.7,28.84,Cassava,8944.0
Tanzania,2015,1247.1,13.92,29.4,Rice,8084.0
India,2016,1389.0,15.45,25.8,Maize,11109.0
Kenya,2019,818.0,43.97,24.83,Sorghum,5271.0
Tanzania,2016,979.2,25.26,21.18,Wheat,8480.0
India,2010,250.0,7.39,21.83,Cassava,9428.0
Nigeria,2010,882.5,8.87,20.65,Rice,9942.0
Kenya,2004,916.5,22.11,24.49,Cassava,12463.0
Tanzania,2012,743.1,9.03,19.12,Maize,7985.0
Nigeria,2002,1158.0,2.74,21.24,Potatoes,17641.0
Kenya,2019,1080.4,14.26,12.58,Rice,7373.0
Ethiopia,2017,309.3,4.55,28.89,Rice,6352.0
Nigeria,2002,1175.4,54.22,21.12,Wheat,9846.0
Kenya,2016,775.1,17.14,23.82,Cassava,10496.0
Ethiopia,2002,1270.0,7.21,27.83,Rice,10338.0
Nigeria,2015,651.4,8.51,23.2,Cassava,11442.0
Tanzania,2001,1110.5,3.28,27.78,Rice,8982.0
Kenya,2010,1000.9,6.17,17.03,Maize,8103.0
Nigeria,2013,1206.1,33.55,31.59,Cassava,8264.0
Tanzania,2015,1143.6,88.71,26.35,Wheat,8194.0
Tanzania,2008,1010.7,26.61,22.84,Wheat,7393.0
Tanzania,2019,562.3,13.82,27.7,Cassava,10246.0
Kenya,2016,583.0,10.53,17.33,Cassava,9574.0
Tanzania,2004,895.6,6.92,20.85,Cassava,10067.0
Tanzania,2014,1097.1,77.31,27.78,Rice,8160.0
Ethiopia,2015,887.1,12.79,14.53,Sorghum,2080.0
Nigeria,2007,1318.8,80.84,24.24,Wheat,9944.0
Nigeria,2015,1002.3,45.37,24.13,Sorghum,5845.0
Nigeria,2018,762.2,3.7,29.88,Potatoes,14910.0
Ethiopia,2017,1002.7,8.73,15.67,Maize,7656.0
Tanzania,2016,1179.1,8.71,28.44,Rice,8401.0
Tanzania,2013,1213.7,13.96,19.76,Rice,10649.0
Ethiopia,2005,1757.4,14.18,20.21,Wheat,9378.0
Tanzania,2016,865.9,100.0,17.11,Rice,7491.0
Ethiopia,2007,1074.3,6.29,17.65,Potatoes,16814.0
India,2011,1249.1,17.87,23.61,Maize,9982.0
Nigeria,2006,1091.8,24.37,17.55,Maize,10553.0
Nigeria,2006,924.8,14.86,24.96,Sorghum,7581.0
Kenya,2003,557.8,16.25,19.35,Rice,7428.0
India,2020,921.2,6.45,17.15,Potatoes,15949.0
Ethiopia,2003,724.2,16.2,19.89,Potatoes,15726.0
Ethiopia,2001,495.7,22.4,23.35,Potatoes,18213.0
Kenya,2019,821.5,19.34,20.89,Rice,10454.0
Tanzania,2011,733.5,23.48,22.14,Rice,9881.0
Kenya,2009,1304.3,46.07,24.78,Sorghum,7161.0
India,2015,1310.4,31.49,26.33,Cassava,12954.0
Tanzania,2008,783.6,15.75,20.76,Wheat,8181.0
Kenya,2002,1008.9,5.83,17.82,Sorghum,6364.0
Nigeria,2015,449.6,9.21,22.3,Cassava,11234.0
Nigeria,2003,927.0,12.48,23.88,Maize,8953.0
Ethiopia,2011,1239.6,18.21,16.16,Sorghum,6154.0
India,2019,1388.7,10.15,18.44,Rice,10771.0
Nigeria,2019,850.4,7.04,19.12,Cassava,11133.0
Nigeria,2007,1468.1,5.75,21.17,Potatoes,18669.0
Nigeria,2016,569.5,3.97,18.96,Cassava,11615.0
Tanzania,2012,663.3,12.33,24.83,Maize,9682.0
India,2010,1348.4,4.59,15.58,Maize,7206.0
Ethiopia,2002,1684.9,6.68,15.68,Cassava,11273.0
Tanzania,2007,1272.7,10.86,20.66,Potatoes,18598.0
Tanzania,2013,1085.9,5.11,21.3,Potatoes,18281.0
Tanzania,2020,331.7,20.16,16.18,Wheat,4238.0
India,2000,392.1,26.9,19.57,Wheat,7696.0
Ethiopia,2015,1145.3,9.59,20.4,Sorghum,6928.0
India,2017,974.7,10.49,20.43,Wheat,7669.0
Ethiopia,2019,713.0,22.87,22.61,Potatoes,18978.0
Ethiopia,2008,1122.9,8.4,19.35,Wheat,7177.0
Nigeria,2002,1140.3,7.96,27.91,Wheat,6476.0
Tanzania,2005,1430.5,38.75,23.95,Maize,9329.0
Nigeria,2017,1147.8,30.19,18.77,Cassava,12054.0
Ethiopia,2018,1529.9,24.08,22.38,Cassava,11881.0
Nigeria,2013,1102.8,31.2,22.5,Maize,10756.0
Ethiopia,2002,1059.6,3.06,26.86,Rice,9393.0
India,2002,1472.5,43.95,19.6,Potatoes,18590.0
Ethiopia,2010,757.5,20.36,25.07,Rice,9158.0
Nigeria,2012,2085.1,33.4,22.17,Sorghum,9972.0
Ethiopia,2000,1231.3,20.28,27.97,Wheat,5689.0
Ethiopia,2014,1233.3,15.47,27.16,Maize,8929.0
Tanzania,2011,1283.8,11.94,22.79,Rice,11205.0
Ethiopia,2000,1757.0,19.96,20.95,Potatoes,18011.0
Kenya,2002,1377.4,11.6,24.03,Wheat,8736.0
Ethiopia,2009,538.2,29.79,21.28,Sorghum,4101.0
Nigeria,2015,1591.2,4.18,28.72,Maize,8625.0
Kenya,2017,980.7,9.65,22.31,Maize,8051.0
Ethiopia,2009,1137.5,76.39,20.38,Potatoes,20318.0
Kenya,2006,652.3,9.02,20.16,Potatoes,15677.0
Nigeria,2020,1284.2,12.29,17.15,Wheat,5965.0
India,2009,872.0,7.34,24.23,Wheat,6926.0
Tanzania,2006,1135.1,19.47,18.72,Maize,8833.0
Ethiopia,2009,1000.6,8.26,26.39,Potatoes,15603.0
Tanzania,2000,1773.8,12.83,16.83,Rice,10964.0
Ethiopia,2006,1793.8,29.34,22.51,Maize,9582.0
India,2010,1116.3,8.51,26.6,Rice,8098.0
Nigeria,2019,1122.4,27.96,13.39,Cassava,8736.0
India,2015,969.3,28.73,30.07,Wheat,5352.0
India,2016,1487.1,34.6,20.3,Cassava,14026.0
Nigeria,2011,984.9,16.65,22.56,Wheat,8895.0
Ethiopia,2002,952.5,100.0,24.29,Wheat,8523.0
Nigeria,2008,1442.5,34.59,24.9,Wheat,6628.0
Tanzania,2020,911.6,19.3,23.1,Wheat,7793.0
Tanzania,2000,1086.8,7.38,25.99,Maize,10009.0
Tanzania,2018,546.5,13.77,24.08,Potatoes,17725.0
Kenya,2014,1346.5,46.57,29.04,Rice,9345.0
Nigeria,2005,1779.3,58.42,24.09,Sorghum,7724.0
Kenya,2016,1352.4,48.55,29.86,Rice,7952.0
India,2017,1611.6,27.89,25.6,Rice,12520.0
Tanzania,2000,803.9,5.45,14.78,Rice,5827.0
Kenya,2002,1182.7,21.97,32.44,Maize,3790.0
India,2013,769.9,5.51,19.7,Sorghum,6087.0
Tanzania,2020,1020.3,4.53,27.98,Maize,7214.0
Tanzania,2000,1370.3,18.02,22.11,Sorghum,6121.0
Ethiopia,2013,1135.6,22.61,26.24,Cassava,12902.0
Kenya,2002,605.6,30.65,19.25,Sorghum,5666.0
Tanzania,2013,639.7,22.15,24.5,Rice,8714.0
Tanzania,2013,616.6,22.77,20.99,Wheat,5821.0
Nigeria,2001,1272.0,6.77,28.32,Cassava,12647.0
Tanzania,2014,1822.4,13.68,23.75,Wheat,9254.0
Kenya,2018,1576.9,4.46,25.74,Rice,11663.0
India,2018,436.4,3.0,13.34,Sorghum,2137.0
Kenya,2000,1597.4,26.91,21.66,Cassava,12744.0
Tanzania,2005,1427.7,8.15,23.64,Cassava,12080.0
India,2005,559.1,29.9,22.89,Maize,9644.0
Tanzania,2009,993.9,36.11,25.84,Cassava,12779.0
Nigeria,2003,1483.4,9.07,20.54,Maize,8814.0
Kenya,2017,1292.7,23.86,22.2,Potatoes,18995.0
Kenya,2016,641.8,8.77,26.72,Cassava,9730.0
Ethiopia,2016,1313.8,3.4,12.89,Potatoes,13773.0
India,2004,351.9,16.42,24.36,Cassava,10206.0
Kenya,2000,1022.0,10.21,20.66,Rice,8607.0
Tanzania,2019,1498.3,10.46,18.35,Wheat,7634.0
Ethiopia,2006,1106.4,72.26,23.35,Wheat,8018.0
Nigeria,2013,925.4,4.39,26.91,Rice,8467.0
Ethiopia,2019,1411.3,20.21,26.16,Sorghum,6566.0
Nigeria,2000,1441.2,6.71,21.46,Rice,10244.0
Nigeria,2000,1558.5,30.77,25.5,Sorghum,8954.0
Kenya,2000,1406.0,18.89,25.47,Rice,10778.0
Nigeria,2003,1478.5,20.16,21.65,Wheat,10665.0
India,2001,1356.5,6.99,19.23,Wheat,7599.0
Tanzania,2017,1192.9,8.06,19.46,Potatoes,17361.0
Ethiopia,2012,1131.3,31.24,25.35,Cassava,13535.0
Tanzania,2020,1017.0,61.35,21.83,Cassava,12036.0
Tanzania,2016,675.7,21.85,17.82,Wheat,6066.0
Tanzania,2020,765.6,7.26,15.26,Rice,7997.0
Ethiopia,2005,1001.3,19.51,25.33,Sorghum,4883.0
Tanzania,2006,1184.5,100.0,19.81,Potatoes,19931.0
Nigeria,2017,1604.3,16.15,23.32,Maize,11418.0
Kenya,2005,1085.4,47.92,26.96,Potatoes,18442.0
Ethiopia,2001,1451.2,8.23,16.76,Maize,9884.0
India,2014,1477.8,14.39,21.82,Maize,11335.0
Kenya,2016,1019.0,24.43,21.32,Potatoes,17788.0
Nigeria,2020,1308.1,20.45,23.52,Maize,9504.0
India,2019,1014.8,8.06,26.96,Rice,10547.0
Kenya,2002,1562.7,7.79,16.68,Potatoes,16208.0
Nigeria,2016,1322.5,32.81,24.28,Potatoes,17584.0
Ethiopia,2017,683.3,38.6,26.13,Rice,9525.0
Nigeria,2014,1156.5,49.88,21.25,Maize,11930.0
Ethiopia,2017,1676.8,63.0,21.45,Sorghum,8791.0
Tanzania,2017,1036.6,16.57,23.67,Cassava,12702.0
Kenya,2009,1256.7,11.6,23.38,Cassava,10357.0
Tanzania,2000,1291.1,43.85,24.33,Sorghum,6704.0
India,2009,737.2,26.32,24.25,Rice,7503.0
Tanzania,2004,1278.7,6.78,18.07,Cassava,12323.0
Tanzania,2002,612.2,6.51,25.96,Rice,6946.0
Kenya,2002,881.0,22.06,26.67,Maize,6939.0
Tanzania,2014,1476.5,12.91,22.74,Cassava,13280.0
Nigeria,2010,1224.9,14.57,16.02,Wheat,7761.0
Tanzania,2011,993.4,35.09,21.54,Cassava,11959.0
Tanzania,2015,1256.3,27.31,22.78,Rice,11259.0
Nigeria,2011,1079.0,43.12,17.42,Cassava,12261.0
Ethiopia,2013,1104.4,3.17,20.56,Potatoes,17690.0
Kenya,2001,1329.9,18.22,16.36,Rice,8284.0
Kenya,2017,845.4,25.94,24.43,Wheat,7592.0
Ethiopia,2009,1114.1,4.39,22.66,Cassava,12549.0
Tanzania,2003,990.7,8.81,15.42,Maize,8066.0
Nigeria,2017,545.0,7.6,23.41,Rice,9405.0
Nigeria,2015,777.8,15.14,21.77,Rice,8784.0
Ethiopia,2001,1648.9,54.72,24.07,Potatoes,20378.0
Nigeria,2004,1234.7,75.04,20.43,Wheat,9230.0
India,2000,636.7,7.76,18.79,Potatoes,15820.0
Tanzania,2005,560.9,22.67,18.92,Rice,8481.0
India,2002,1060.7,23.27,19.85,Wheat,6853.0
India,2014,1646.4,20.29,22.08,Wheat,9726.0
Tanzania,2010,1034.6,20.47,22.59,Sorghum,5191.0
Nigeria,2020,1557.4,18.97,21.24,Wheat,8291.0
Tanzania,2015,1223.2,57.4,20.31,Wheat,8327.0
Ethiopia,2012,1264.9,35.94,20.59,Potatoes,20185.0
Kenya,2010,632.5,6.37,32.03,Wheat,3008.0
Nigeria,2001,1428.1,28.12,18.92,Rice,9559.0
Kenya,2001,982.8,30.38,19.77,Wheat,8710.0
Kenya,2012,1402.1,19.14,34.0,Rice,5606.0
Tanzania,2000,815.0,36.79,23.68,Sorghum,5061.0
India,2000,1162.0,17.3,16.48,Potatoes,14375.0
